dataset,episode,start,action_shift-2,state_shift-2,action_shift-1,state_shift-1,action_shift+0,state_shift+0,action_shift+1,state_shift+1,action_shift+2,state_shift+2
VoicAndrei/so100_banana_to_plate_only,92,31,0.7395450472831726,0.7411741614341736,0.7217826843261719,0.7204276919364929,0.7109284400939941,0.7068753242492676,0.7065154910087585,0.7001068592071533,0.7068491578102112,0.6983957290649414
VoicAndrei/so100_banana_to_plate_only,27,10,1.5864022970199585,1.5448275804519653,1.5844597816467285,1.5483604669570923,1.586260437965393,1.5414811372756958,1.5936269760131836,1.5395392179489136,1.5920976400375366,1.538192629814148
VoicAndrei/so100_banana_to_plate_only,9,28,0.6667072176933289,0.6207788586616516,0.6735241413116455,0.6223136782646179,0.6948557496070862,0.6358487606048584,0.7274845242500305,0.6605172157287598,0.7742300629615784,0.6985031962394714
frk2/so100largediffcam,26,65,1.1196744441986084,1.048376202583313,1.1824443340301514,1.1068469285964966,1.2473461627960205,1.1692036390304565,1.3138264417648315,1.2353764772415161,1.3758068084716797,1.3030213117599487
frk2/so100largediffcam,49,49,1.0472743511199951,0.9609842896461487,1.0848255157470703,0.9957664608955383,1.1217964887619019,1.030692458152771,1.15911066532135,1.0644510984420776,1.196895956993103,1.099070429801941
frk2/so100largediffcam,9,64,1.662003517150879,1.6470866203308105,1.6620265245437622,1.6505006551742554,1.6617094278335571,1.6508287191390991,1.6616414785385132,1.6507095098495483,1.6615489721298218,1.650769591331482
frk2/so100largediffcam,19,15,1.61357843875885,1.619550108909607,1.6094422340393066,1.617005705833435,1.6050997972488403,1.6139291524887085,1.6018962860107422,1.610711693763733,1.599420189857483,1.6075410842895508
frk2/so100largediffcam,47,55,0.7120909690856934,0.6907632350921631,0.7428976893424988,0.7143210768699646,0.7805172801017761,0.7438578009605408,0.8226390480995178,0.7796146273612976,0.8691427111625671,0.8208038806915283
frk2/so100largediffcam,2,67,1.564796805381775,1.5207830667495728,1.5973035097122192,1.555373191833496,1.629079818725586,1.5875405073165894,1.6549116373062134,1.6175857782363892,1.6753610372543335,1.6413429975509644
samsam0510/cube_reorientation_2,113,147,0.8307156562805176,0.7888739109039307,0.8860483169555664,0.8344459533691406,0.9465602040290833,0.890937864780426,1.0115716457366943,0.9524150490760803,1.0812984704971313,1.017428994178772
samsam0510/cube_reorientation_2,8,33,1.1462836265563965,1.1456729173660278,1.1358728408813477,1.1366328001022339,1.1238585710525513,1.1267081499099731,1.11090886592865,1.1153907775878906,1.0980910062789917,1.102704405784607
samsam0510/cube_reorientation_2,18,73,1.1039146184921265,1.096881628036499,1.1065396070480347,1.0967530012130737,1.1105741262435913,1.098982810974121,1.1146703958511353,1.103037714958191,1.1190428733825684,1.106476068496704
